"","Lfd. Nr.","Konzentrationslager und Außenkommandos","Konzentrationslager und Außenkommandos","Hauptlager der Außenkommandos"
"30","17","Althammer = Stara Kuznia (Kuznica), Kreis Pleß,","Althammer = Stara Kuznia (Kuznica), Kreis Pleß,","Auschwitz"
"31","17","","ab 15.9.1944",""
"32","18","Amersfoort/Holland,","Amersfoort/Holland,","zeitweise"
"33","18","","18.8.1941 bis 5.5.1945","Herzogenbusch"
"34","19","Ampermoching, nur Arbeitseinsatzstelle v. Dachau","Ampermoching, nur Arbeitseinsatzstelle v. Dachau",""
"35","20","Ampfing-Waldlager V und VI, Kdo. v. Mühldorf,","Ampfing-Waldlager V und VI, Kdo. v. Mühldorf,","Dachau"
"36","20","","bis 2.5.1945 (Lager V und VI, Männer)",""
"37","20","","ab 13.1.1945 (Lager V, Frauen)",""
"38","21","Amstetten/Niederösterreich,","Amstetten/Niederösterreich,","Mauthausen"
"39","21","","bis 18.4.1945",""
"40","22","Ankenbuck, Kreis Donaueschingen (früher: Kreis Villingen),","Ankenbuck, Kreis Donaueschingen (früher: Kreis Villingen),",""
"41","22","","1.4.1933 bis 12.3.1934",""
"42","23","Annaburg, Kreis Jessen (früher: Kreis Torgau),","Annaburg, Kreis Jessen (früher: Kreis Torgau),","Buchenwald"
"43","23","","bis 16.3.1945",""
"44","24","Annen, siehe Witten-Annen","Annen, siehe Witten-Annen",""
"45","25","Ansbach,","Ansbach,","Ravensbrück"
"46","25","","bis 10.4.1945",""
"47","26","Ansbach,","Ansbach,","Flossenbürg"
"48","","","13.3.1945 bis 4.4.1945",""
"49","27","Antivari, siehe Topolica bei Bar","Antivari, siehe Topolica bei Bar",""
"50","28","Apolda/Thüringen","Apolda/Thüringen","Buchenwald"
"51","29","Arbeitsdorf, Gemeinde Fallersleben,","Arbeitsdorf, Gemeinde Fallersleben,",""
"52","29","","8.4.1942 bis 11.10.1942",""
"53","30","Arenberg,","Arenberg,","Neusustrum"
"54","30","","5.4.1940 bis 20.4.1940",""
"55","31","Argenau = Gniewkowo/Warthegau, Kdo. v. Thorn OT","Argenau = Gniewkowo/Warthegau, Kdo. v. Thorn OT","Stutthof"
"56","32","Arnheim (Arnhem)/Holland,","Arnheim (Arnhem)/Holland,","Herzogenbusch"
"57","32","","ab 1.7.1943",""
"58","33","Arolsen, Kreis Waldeck,","Arolsen, Kreis Waldeck,","Buchenwald"
"59","33","","15.11.1943 bis 29.3.1945",""
"60","34","Artern, ""Adorf"", Kreis Sangerhausen,","Artern, ""Adorf"", Kreis Sangerhausen,","Dora-Mittelbau"
"61","34","","bis 6.4.1945",""
"62","35","Asbach, Kdo. v. Neckarelz I und II,","Asbach, Kdo. v. Neckarelz I und II,","Natzweiler"
"63","35","","bis 30.4.1945",""
"64","36","Aschendorfermoor, Gemeinde Aschendorf,","Aschendorfermoor, Gemeinde Aschendorf,",""
"65","36","","ab 1.1.1936",""
"66","37","Aschersleben,","Aschersleben,","Buchenwald"
"67","37","","bis 11.4.1945 (Männerlager)",""
"68","37","","6.1.1945 bis 11.4.1945 (Frauenlager)",""
"69","37a","Aseri/Estland","Aseri/Estland","Vaivara"
"70","38","Aslau, Kreis Bunzlau/Niederschlesien,","Aslau, Kreis Bunzlau/Niederschlesien,","Groß Rosen"
"71","38","","bis 11.2.1945",""
"72","39","Athen-Haidari, siehe Haidari","Athen-Haidari, siehe Haidari",""
"73","40","Attnang-Puchheim, siehe Schlier-Redl-Zipf","Attnang-Puchheim, siehe Schlier-Redl-Zipf",""
"74","41","Aue/Sachsen,","Aue/Sachsen,","Flossenbürg"
"75","41","","bis 8.5.1945",""
"76","42","Auerbach, siehe Bensheim-Auerbach","Auerbach, siehe Bensheim-Auerbach",""
"77","43","Aufkirch, siehe Kaufbeuren","Aufkirch, siehe Kaufbeuren",""
"78","44","Augsburg,","Augsburg,","Dachau"
"79","44","","14.4.1942 bis 23.7.1942",""
"80","45","Augsburg, Michel-Fabrik,","Augsburg, Michel-Fabrik,","Dachau"
"81","45","","bis 30.4.1945",""
"82","46","Augsburg, Oberbürgermeister","Augsburg, Oberbürgermeister","Dachau"
"83","47","Augsburg-Pfersee, Messerschmitt-Werke","Augsburg-Pfersee, Messerschmitt-Werke","Dachau"
"84","48","Augsburg, Reichsbahnbetriebsamt","Augsburg, Reichsbahnbetriebsamt","Dachau"
"85","49","Augustusburg bei Chemnitz,","Augustusburg bei Chemnitz,","Sachsenburg"
"86","49","","1.5.1933 bis 31.12.1935",""
"87","50","Aurach, siehe Wurach","Aurach, siehe Wurach",""
"88","51","Aurich, Kreis Aurich,","Aurich, Kreis Aurich,","Neuengamme"
"89","51","","bis 23.12.1944",""
"90","52","Auschwitz = Oswiecim, Auschwitz-Zasole und SS-Eisenbahn-Baubrigade 2 (auch als 7 bezeichnet),","Auschwitz = Oswiecim, Auschwitz-Zasole und SS-Eisenbahn-Baubrigade 2 (auch als 7 bezeichnet),",""
"91","52","","20.5.1940 bis 27.1.1945",""
"92","52a","Auvere/Estland,","Auvere/Estland,","Vaivara"
"93","52a","","ab 15.9.1943",""
"94","","B","B",""
"95","53","Babelsberg, siehe Potsdam-Babelsberg","Babelsberg, siehe Potsdam-Babelsberg",""
"96","54","Babitz/Oberschlesien,","Babitz/Oberschlesien,","Auschwitz"
"97","54","","1.3.1943 bis 18.1.1945",""
"98","55","Backa-Topola/Jugoslawien,","Backa-Topola/Jugoslawien,",""
"99","55","","ab 17.3.1944",""
"100","56","Bachmanning, Kreis Wels, Kdo. v. Großraming,","Bachmanning, Kreis Wels, Kdo. v. Großraming,","Mauthausen"
"101","56","","ab 30.9.1943",""
"102","57","Bad Berka, Kreis Weimar, Kdo. v. Tonndorf","Bad Berka, Kreis Weimar, Kdo. v. Tonndorf","Buchenwald"
"103","58","Baden-Baden-Oos-Sandweier, siehe Iffezheim","Baden-Baden-Oos-Sandweier, siehe Iffezheim",""
"104","59","Bad Gandersheim, Kreis Gandersheim,","Bad Gandersheim, Kreis Gandersheim,","Buchenwald"
"105","59","","2.10.1944 bis 4.4.1945",""
"106","60","Bad Godesberg","Bad Godesberg","Buchenwald"
"107","61","Bad Ischl, Kreis Gmunden, Umsiedlungslager,","Bad Ischl, Kreis Gmunden, Umsiedlungslager,","Dachau"
"108","61","","9.2.1942 bis 19.12.1942",""
"109","62","Bad Ischl, Kreis Gmunden, Sägewerk,","Bad Ischl, Kreis Gmunden, Sägewerk,","Dachau"
"110","62","","18.6.1942 bis 19.12.1942",""
"111","63","Bad Kudowa, siehe Sackisch","Bad Kudowa, siehe Sackisch",""
"112","64","Bad Oberdorf, Gemeinde Hindelang","Bad Oberdorf, Gemeinde Hindelang","Dachau"
"113","65","Bad Rappenau, Kreis Sinsheim, Kdo. v. Neckarelz I und II,","Bad Rappenau, Kreis Sinsheim, Kdo. v. Neckarelz I und II,","Natzweiler"
"114","65","","1.9.1944 bis 31.3.1945",""
"115","66","Bad Saarow, Kreis Beeskow-Storkow,","Bad Saarow, Kreis Beeskow-Storkow,","Sachsenhausen"
"116","66","","bis 15.4.1945",""
"117","67","Bad Salzbrunn/Niederschlesien","Bad Salzbrunn/Niederschlesien","Groß Rosen"
"118","68","Bad Salzungen, Kreis Meiningen,","Bad Salzungen, Kreis Meiningen,","Buchenwald"
"119","68","","ab 5.1.1945",""
"120","69","Bad Sulza, Kreis Waimar,","Bad Sulza, Kreis Waimar,",""
"121","69","","bis 1.7.1936 (Frauen)",""
"122","69","","1.7.1933 bis 31.7.1937 (Männer)",""
"123","70","Bad Tölz,","Bad Tölz,","Dachau"
"124","70","","ab 1.7.1940",""
"125","71","Bad Warmbrunn, Kreis Hirschberg/Niederschlesien,","Bad Warmbrunn, Kreis Hirschberg/Niederschlesien,","Groß Rosen"
"126","71","","bis 8.5.1945",""
"127","72","Bad Zwischenahn, Kdo. v. Esterwegen","Bad Zwischenahn, Kdo. v. Esterwegen","Esterwegen"
"128","73","Baerum, siehe Grini","Baerum, siehe Grini",""
"129","74","Balingen, siehe Gruppe Wüste","Balingen, siehe Gruppe Wüste",""
"130","75","Ballenstedt, Kreis Quedlinburg (früher: Kreis Ballenstedt)","Ballenstedt, Kreis Quedlinburg (früher: Kreis Ballenstedt)","Dora-Mittelbau"
"131","76","Banjica/Serbien,","Banjica/Serbien,",""
"132","76","","9.7.1941 bis 3.10.1944",""
"133","77","Barkhausen,","Barkhausen,","Neuengamme"
"134","77","","18.3.1944 bis 1.4.1945",""
"135","78","Barneveld/Holland,","Barneveld/Holland,",""
"136","78","","27.2.1943 bis 28.9.1943",""
"137","79","""Baron Hirsch"", siehe Saloniki","""Baron Hirsch"", siehe Saloniki",""
"138","80","Barth/Ostsee, Kreis Stralsund,","Barth/Ostsee, Kreis Stralsund,","Ravensbrück"
"139","80","","1.8.1943 bis 30.4.1945",""
"140","81","Baubrigaden, siehe Auschwitz, Buchenwald, Dora-Mittelbau, Neuengamme und Sachsenhausen","Baubrigaden, siehe Auschwitz, Buchenwald, Dora-Mittelbau, Neuengamme und Sachsenhausen",""
"141","82","Bäumenheim, Gemeinde Asbach, Kreis Donauwörth","Bäumenheim, Gemeinde Asbach, Kreis Donauwörth","Dachau"
"142","83","Bautzen/Sachsen,","Bautzen/Sachsen,","Groß Rosen"
"143","83","","1.10.1944 bis 30.4.1945",""
"144","84","Bayersoien, siehe Echelsbach","Bayersoien, siehe Echelsbach",""
"145","85","Bayreuth,","Bayreuth,","Flossenbürg"
"146","85","","14.6.1944 bis 10.4.1945",""
"147","86","Bayrischzell, Kreis Miesbach","Bayrischzell, Kreis Miesbach","Dachau"
"148","87","Beaune-la-Rolande/Frankreich,","Beaune-la-Rolande/Frankreich,",""
"149","87","","14.5.1941 bis 2.7.1943",""
"150","88","Beendorf, siehe Helmstedt-Beendorf","Beendorf, siehe Helmstedt-Beendorf",""
"151","89","Beerfelde, Kreis Lebus/Oder","Beerfelde, Kreis Lebus/Oder","Sachsenhausen"
"152","90","Belzec, Kreis Zamosc/Polen,","Belzec, Kreis Zamosc/Polen,",""
"153","90","","1.9.1941 bis 31.7.1943",""
"154","91","Belzig, Kreis Zauch-Belzig,","Belzig, Kreis Zauch-Belzig,","Ravensbrück,"
"155","91","","bis 2.5.1945","ab 1.10.1944"
"156","91","","","Sachsenhausen"
"157","92","Benninghausen/Westfalen,","Benninghausen/Westfalen,",""
"158","92","","29.3.1933 bis 11.10.1933",""
"159","93","Bensberg, Rheinisch-Bergischer Kreis,","Bensberg, Rheinisch-Bergischer Kreis,","Buchenwald"
"160","93","","28.3.1944 bis 25.2.1945",""
"161","94","Bensheim-Auerbach,","Bensheim-Auerbach,","Natzweiler"
"162","94","","11.9.1944 bis 26.3.1945",""
"163","95","Berga/Elster, Kreis Greiz/Thüringen,","Berga/Elster, Kreis Greiz/Thüringen,","Buchenwald"
"164","95","","bis 10.4.1945",""
"165","96","Bergen-Belsen,","Bergen-Belsen,",""
"166","96","","30.4.1943 bis 15.4.1945",""
"167","96a","Bergkamen (Männer)/Westfalen,","Bergkamen (Männer)/Westfalen,",""
"168","96a","","ab 1.4.1933",""
"169","97","Berka, siehe Bad Berka","Berka, siehe Bad Berka",""
"170","98","Berlin, SS-Hauptwirtschaftslager II (Berlin-Südende), Volksdeutsche Mittelstelle (Berlin W 62), Reichssicherheitshauptamt, Kreiselgerät GmbH, Deutsche Ausrüstungswerke (SS-WVHA/Amt W IV), Bauleitung Groß-Berlin","Berlin, SS-Hauptwirtschaftslager II (Berlin-Südende), Volksdeutsche Mittelstelle (Berlin W 62), Reichssicherheitshauptamt, Kreiselgerät GmbH, Deutsche Ausrüstungswerke (SS-WVHA/Amt W IV), Bauleitung Groß-Berlin","Sachsenhausen"
"171","99","Berlin, Arado-Flugzeugwerke,","Berlin, Arado-Flugzeugwerke,","Sachsenhausen"
"172","99","","ab 1.10.1944",""
"173","100","Berlin-Falkensee, siehe Falkensee","Berlin-Falkensee, siehe Falkensee",""
"174","101","Berlin-Hakenfelde, Luftfahrtgerätewerk,","Berlin-Hakenfelde, Luftfahrtgerätewerk,","Sachsenhausen"
"175","101","","ab 1.7.1943",""
"176","102","Berlin-Halensee","Berlin-Halensee","Sachsenhausen"
"177","103","Berlin, Kastanienallee,","Berlin, Kastanienallee,","Sachsenhausen"
"178","103","","29.9.1941 bis 31.12.1941",""
"179","104","Berlin, Kommandoamt der SS,","Berlin, Kommandoamt der SS,","Sachsenhausen"
"180","104","","2.5.1941 bis 31.12.1941",""
"181","105","Berlin-Köpenick, AEG-Kabelwerk Oberspree,","Berlin-Köpenick, AEG-Kabelwerk Oberspree,","Sachsenhausen"
"182","105","","bis 20.4.1945",""
"183","106","Berlin-Lichtenrade,","Berlin-Lichtenrade,","Sachsenhausen"
"184","106","","bis 20.4.1945",""
"185","107","Berlin-Lichterfelde,","Berlin-Lichterfelde,","Sachsenhausen"
"186","107","","ab 7.1.1941",""
"187","108","Berlin-Marienfelde,","Berlin-Marienfelde,","Sachsenhausen"
"188","108","","ab 23.9.1943",""
"189","109","Berlin-Neukölln, Registrierkassen-Gesellschaft Krupp","Berlin-Neukölln, Registrierkassen-Gesellschaft Krupp","Sachsenhausen"
"190","110","Berlin-Niederschöneweide, Firma Pertrix (Varta),","Berlin-Niederschöneweide, Firma Pertrix (Varta),","Sachsenhausen"
"191","110","","bis 21.4.1945",""
"192","111","Berlin-Reinickendorf, Argus-Werke","Berlin-Reinickendorf, Argus-Werke","Sachsenhausen"
"193","112","Berlin-Siemensstadt, Siemens-Schuckertwerke,","Berlin-Siemensstadt, Siemens-Schuckertwerke,","Sachsenhausen"
"194","112","","17.7.1944 bis 10.4.1945",""
"195","113","Berlin-Spandau (Frauen), Deutsche Industriewerke,","Berlin-Spandau (Frauen), Deutsche Industriewerke,","Sachsenhausen"
"196","113","","bis 23.4.1945",""
"197","114","Berlin-Tegel, Borsig-Werke","Berlin-Tegel, Borsig-Werke","Sachsenhausen"
"198","115","Berlin-Tempelhof, ""Columbia"",","Berlin-Tempelhof, ""Columbia"",",""
"199","115","","8.1.1935 bis 5.11.1936",""
"200","116","Berlin-Weißensee, siehe Jugendschutzlager","Berlin-Weißensee, siehe Jugendschutzlager",""
"201","117","Berlin-Wilmersdorf,","Berlin-Wilmersdorf,","Sachsenhausen"
"202","117","","2.1.1943 bis 3.7.1943",""
"203","118","Berlin-Zehlendorf, Spinnstoff-Fabrik Zehlendorf,","Berlin-Zehlendorf, Spinnstoff-Fabrik Zehlendorf,","Sachsenhausen"
"204","118","","ab 1.9.1943",""
"205","119","Berlstedt, Kreis Weimar,","Berlstedt, Kreis Weimar,","Buchenwald"
"206","119","","15.11.1938 bis 4.4.1945",""
"207","120","Bernartice, siehe Bernsdorf","Bernartice, siehe Bernsdorf",""
"208","121","Bernsdorf = Bernartice/Tschech., Kreis Trautenau,","Bernsdorf = Bernartice/Tschech., Kreis Trautenau,","Groß Rosen"
"209","121","","bis 8.5.1945",""
"210","122","Berun = Bierun, siehe Günthergrube","Berun = Bierun, siehe Günthergrube",""
"211","123","Betschkerek, siehe Petrovgrad","Betschkerek, siehe Petrovgrad",""
"212","123a","Beydritten (Männer)/Ostpreußen","Beydritten (Männer)/Ostpreußen",""
"213","124","Bichl, Kreis Bad Tölz,","Bichl, Kreis Bad Tölz,","Dachau"
"214","124","","1.5.1941 bis 31.12.1941",""
"215","125","Bierun, siehe Günthergrube","Bierun, siehe Günthergrube",""
"216","126","Biesenthal bei Eberswalde, Kreis Oberbarnim,","Biesenthal bei Eberswalde, Kreis Oberbarnim,","Sachsenhausen"
"217","126","","ab 1.7.1944",""
"218","127","Bila Voda, siehe Weißwasser","Bila Voda, siehe Weißwasser",""
"219","128","Billroda, Kreis Nebra (früher: Kreis Eckartsberga),","Billroda, Kreis Nebra (früher: Kreis Eckartsberga),","Buchenwald"
"220","128","","19.3.1945 bis 10.4.1945",""
"221","129","Birgsau, siehe Oberstdorf-Birgsau","Birgsau, siehe Oberstdorf-Birgsau",""
"222","130","Birkenau = Brzezinka (Auschwitz II),","Birkenau = Brzezinka (Auschwitz II),","Auschwitz"
"223","","","26.11.1941 bis 27.1.1945",""
"224","131","Birkhahn-Mötzlich, siehe Halle","Birkhahn-Mötzlich, siehe Halle",""
"225","132","Birnbäumel/Niederschlesien,","Birnbäumel/Niederschlesien,","Groß Rosen"
"226","132","","22.10.1944 bis 31.1.1945",""
"227","133","Bischofferode, Kreis Werbis, Kdo. v. Harzungen und Klein-Bodungen","Bischofferode, Kreis Werbis, Kdo. v. Harzungen und Klein-Bodungen","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"228","134","Bisingen, Kreis Hechingen,","Bisingen, Kreis Hechingen,","Natzweiler"
"229","134","","24.8.1944 bis 14.4.1945",""
"230","135","Bismarckhütte-Hajduki Wielkie, Kreis Chorzow,","Bismarckhütte-Hajduki Wielkie, Kreis Chorzow,","Auschwitz"
"231","135","","1.9.1944 bis 18.1.1945",""
"232","136","Blaichach, Kreis Sonthofen","Blaichach, Kreis Sonthofen","Dachau"
"233","137","Blankenburg, Kreis Wernigerode (früher: Kreis Blankenburg)","Blankenburg, Kreis Wernigerode (früher: Kreis Blankenburg)","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"234","138","Blankenhain, Kreis Weimar, Kdo. v. Tonndorf","Blankenhain, Kreis Weimar, Kdo. v. Tonndorf","Buchenwald"
"235","139","Blechhammer, Kreis Cosel/Oberschlesien,","Blechhammer, Kreis Cosel/Oberschlesien,","Auschwitz"
"236","139","","1.4.1944 bis 26.1.1945",""
"237","140","Bleicherode/Sachsen","Bleicherode/Sachsen","Buchenwald, ab 1.11.1944 Dora-Mittelbau"
"238","141","Blizyn/Polen, Deutsche Ausrüstungswerke GmbH, Kdo. v. Radom,","Blizyn/Polen, Deutsche Ausrüstungswerke GmbH, Kdo. v. Radom,","Lublin"
"239","141","","ab 10.2.1944",""
"240","142","Blumenthal, siehe Bremen-Blumenthal","Blumenthal, siehe Bremen-Blumenthal",""
"241","143","Bobrek, Kreis Krenau,","Bobrek, Kreis Krenau,","Auschwitz"
"242","143","","bis 19.1.1945",""
"243","144","Bochum, Bochumer Verein,","Bochum, Bochumer Verein,","Buchenwald"
"244","144","","ab 26.6.1944",""
"245","145","Bochum, Eisen- und Hüttenwerke,","Bochum, Eisen- und Hüttenwerke,","Buchenwald"
"246","145","","ab 21.8.1944",""
"247","146","Bocien, siehe Botten/Botschin","Bocien, siehe Botten/Botschin",""
"248","147","Bodtenberg bei Weimar/Thüringen, Innenkommando des KL Buchenwald, siehe Buchenwald","Bodtenberg bei Weimar/Thüringen, Innenkommando des KL Buchenwald, siehe Buchenwald",""
"249","148","Böhlen, Kreis Borna (früher: Kreis Leipzig),","Böhlen, Kreis Borna (früher: Kreis Leipzig),","Buchenwald"
"250","148","","bis 28.11.1944",""
"251","149","Bohnsack bei Danzig,","Bohnsack bei Danzig,","Stutthof"
"252","149","","ab 7.6.1940",""
"253","150","Boizenburg, Kreis Hagenow, Bezirk Schwerin,","Boizenburg, Kreis Hagenow, Bezirk Schwerin,","Neuengamme"
"254","150","","bis 30.4.1945",""
"255","151","Bolkenhain bei Striegau/Niederschlesien,","Bolkenhain bei Striegau/Niederschlesien,","Groß Rosen"
"256","151","","1.7.1944 bis 28.2.1945",""
"257","152","Bolzano, siehe Bozen","Bolzano, siehe Bozen",""
"258","153","Bomlitz, Kreis Fallingbostel","Bomlitz, Kreis Fallingbostel",""
"259","154","Bor-Budy, siehe Budy","Bor-Budy, siehe Budy",""
"260","155","Börgermoor, Gemeinde Surwold,","Börgermoor, Gemeinde Surwold,",""
"261","155","","30.1.1933 bis 10.4.1945",""
"262","156","Börnicke, Kreis Osthavelland,","Börnicke, Kreis Osthavelland,","Sachsenhausen"
"263","156","","ab 7.6.1933",""
"264","157","Borgo San Dalmazzo,","Borgo San Dalmazzo,",""
"265","157","","1.9.1943 bis 15.2.1945",""
"266","158","Born/Pommern,","Born/Pommern,","Ravensbrück"
"267","158","","ab 1.12.1942",""
"268","159","Botten/Botschin = Bocien,","Botten/Botschin = Bocien,","Stutthof"
"269","159","","24.8.1944 bis 31.1.1945",""
"270","160","Bozen = Bolzano","Bozen = Bolzano",""
"271","161","Bozicany, siehe Poschetzau","Bozicany, siehe Poschetzau",""
"272","162","Brandenburg (Havel),","Brandenburg (Havel),",""
"273","162","","15.3.1933 bis 23.4.1934",""
"274","163","Brandenburg (Havel),","Brandenburg (Havel),","Sachsenhausen"
"275","163","","13.5.1941 bis 18.4.1945",""
"276","164","Brandhofen/Niederschlesien,","Brandhofen/Niederschlesien,","Groß Rosen"
"277","164","","1.3.1945 bis 25.4.1945",""
"278","165","Braunschweig, Lager Büssing und Schilldenkmal","Braunschweig, Lager Büssing und Schilldenkmal","Neuengamme"
"279","166","Braunschweig, SS-Junkerschule,","Braunschweig, SS-Junkerschule,","Buchenwald"
"280","166","","13.9.1941 bis 3.11.1941 und 19.2.1942 bis 5.9.1942",""
"281","167","Braunschweig, SS-Reitschule","Braunschweig, SS-Reitschule","Neuengamme"
"282","168","Braunschweig, Stahlwerke, siehe Watenstedt","Braunschweig, Stahlwerke, siehe Watenstedt",""
"283","169","Braunschweig, Truppenwirtschaft","Braunschweig, Truppenwirtschaft","Neuengamme"
"284","170","Brauweiler bei Köln,","Brauweiler bei Köln,",""
"285","170","","1.6.1933 bis 12.3.1934",""
"286","171","Breendonk = Breendonck/Belgien,","Breendonk = Breendonck/Belgien,",""
"287","171","","20.9.1940 bis 4.9.1944",""
"288","172","Bredow, siehe Stettin-Bredow","Bredow, siehe Stettin-Bredow",""
"289","173","Breitenau/Hessen (früher: Provinz Hessen-Nassau),","Breitenau/Hessen (früher: Provinz Hessen-Nassau),",""
"290","173","","1.4.1933 bis 17.3.1934",""
"291","174","Breitenfelde/Schleswig-Holstein, siehe Mölln","Breitenfelde/Schleswig-Holstein, siehe Mölln",""
"292","175","Bremen, Behelfswohnbau,","Bremen, Behelfswohnbau,","Neuengamme"
"293","175","","bis 26.4.1945",""
"294","176","Bremen-Blumenthal, Deschimag,","Bremen-Blumenthal, Deschimag,","Neuengamme"
"295","176","","1.9.1944 bis 20.4.1945",""
"296","177","Bremen, Borgwardwerke,","Bremen, Borgwardwerke,","Neuengamme"
"297","177","","bis 12.10.1944",""
"298","178","Bremen, Deschimag, Lager Schützenhof,","Bremen, Deschimag, Lager Schützenhof,","Neuengamme"
"299","178","","bis 11.4.1945",""
"300","179","Bremen-Farge,","Bremen-Farge,","Neuengamme"
"301","179","","1.7.1943 bis 8.4.1945",""
"302","180","Bremen-Findorf (""Missler""),","Bremen-Findorf (""Missler""),",""
"303","180","","1.4.1933 bis 13.9.1933",""
"304","181","Bremen-Neuenland,","Bremen-Neuenland,","Neuengamme"
"305","181","","16.8.1944 bis 28.11.1944",""
"306","182","Bremen, Ochtumsand,","Bremen, Ochtumsand,",""
"307","182","","13.9.1933 bis 15.5.1934",""
"308","183","Bremen-Osterort,","Bremen-Osterort,","Neuengamme"
"309","183","","ab 28.11.1944",""
"310","184","Bremen-Vegesack,","Bremen-Vegesack,","Neuengamme"
"311","184","","bis 30.9.1944",""
"312","185","Bremerhaven (""Langlütjen""),","Bremerhaven (""Langlütjen""),",""
"313","185","","9.9.1933 bis 25.1.1934",""
"314","186","Breslau I, Famo-Werke,","Breslau I, Famo-Werke,","Groß Rosen"
"315","186","","1.7.1944 bis 23.1.1945",""
"316","187","Breslau II,","Breslau II,","Groß Rosen"
"317","187","","1.7.1944 bis 23.1.1945",""
"318","188","Breslau-Deutsch Lissa,","Breslau-Deutsch Lissa,","Groß Rosen"
"319","188","","1.7.1942 bis 23.1.1945",""
"320","189","Breslau-Dürrgoy,","Breslau-Dürrgoy,",""
"321","189","","12.3.1933 bis 20.7.1934",""
"322","190","Breslau-Hundsfeld,","Breslau-Hundsfeld,","Groß Rosen"
"323","190","","1.7.1944 bis 25.1.1945",""
"324","191","Bretstein, Kreis Judenburg/Österreich,","Bretstein, Kreis Judenburg/Österreich,","Mauthausen"
"325","191","","1.8.1941 bis 30.9.1943",""
"326","192","Brieg/Schlesien,","Brieg/Schlesien,","Groß Rosen"
"327","192","","1.7.1944 bis 23.1.1945",""
"328","193","Briesen,","Briesen,","Sachsenhausen"
"329","193","","26.10.1943 bis 30.4.1945",""
"330","194","Brnenec, siehe Brünnlitz","Brnenec, siehe Brünnlitz",""
"331","195","Brno, siehe Brünn","Brno, siehe Brünn",""
"332","196","Brodnica, siehe Strasburg","Brodnica, siehe Strasburg",""
"333","197","Bromberg = Bydgoszcz/Reichsgau Danzig-Westpreußen,","Bromberg = Bydgoszcz/Reichsgau Danzig-Westpreußen,","Stutthof"
"334","197","","1.8.1943 bis 30.9.1943",""
"335","198","Bromberg-Brahnau,","Bromberg-Brahnau,","Stutthof"
"336","198","","15.7.1944 bis 28.1.1945",""
"337","199","Bromberg-Ost,","Bromberg-Ost,","Stutthof"
"338","199","","ab 13.9.1944",""
"339","200","Brüningsau, Kreis Rosenheim, siehe Halfing","Brüningsau, Kreis Rosenheim, siehe Halfing",""
"340","201","Brünn = Brno/Tschech.,","Brünn = Brno/Tschech.,","Auschwitz"
"341","201","","1.10.1943 bis 31.3.1945",""
