"","id","date","event","text"
"11",11,"2024-12-16","Research Area 5 Meeting with Verónica Paula Gómez | Mapping Corporeal Migrations: Latin American Electronic Literature between Global North and Global South","Organised by Research Area 5: ""Building Digital Communities"".
As a postdoctoral fellow at the Alexander von Humboldt Foundation, Verónica Paula Gómez is leading a project to map the migrations of Latin American electronic literature between the Global North and the Global South. This project is a continuation of her research on the political location of electronic literature. Electronic literature is ""born digital"" (not digitised) and implies not only a migration of supports, but also entirely new creations based on the use of networked computers. These literary artifacts could be defined as a set of characteristics related to the emergence of new word technologies in the contemporary world, dominated by a laboratory aesthetic. This means that these artistic practices strategically coexist and are not exempt from conflict and critique with science and technology.
During her doctoral research, Verónica Paula Gómez explored the renewed connection between electronic literature and its location, which cannot be defined in terms of the idea of Nation as it used to be with print literature. On the contrary, Gómez defended the thesis that electronic literature, because it migrates to digital support and involves the interaction of intermediate languages, has an interzonal rather than a national affiliation. In her current project, she adds a sociological perspective to this relationship between literature and location by asking: how is the corpus of Latin American electronic literature conceptually constructed in light of the dependence between the resources offered by the global North and the migrations of the doers, typically from the global South? Gómez argues for a broad notion of migration as a displacement of physical, identity, political, and social orders, which implies different types of embodiments: literary corpus, financial corporations, corporate languages, in addition to the artist bodies themselves. In this meeting, she will present an outline of the main guidelines of her project, the goals and hypothesis, the digital humanities decolonial frame she has been working with, as well as some initial results of database refinement and some tools she is using to map these results."
"12",12,NA,NA,NA
"13",13,NA,NA,NA
"14",14,NA,NA,NA
"15",15,NA,NA,NA
"16",16,NA,NA,NA
"17",17,NA,NA,NA
"18",18,NA,NA,NA
"19",19,NA,NA,NA
"20",20,NA,NA,NA
"21",21,NA,NA,NA
"22",22,NA,NA,NA
"23",23,NA,NA,NA
"24",24,NA,NA,NA
"25",25,NA,NA,NA
"26",26,NA,NA,NA
"27",27,NA,NA,NA
"28",28,NA,NA,NA
"29",29,NA,NA,NA
"30",30,NA,NA,NA
"31",31,NA,NA,NA
"32",32,NA,NA,NA
"33",33,NA,NA,NA
"34",34,NA,NA,NA
"35",35,NA,NA,NA
"36",36,NA,NA,NA
"37",37,NA,NA,NA
"38",38,NA,NA,NA
"39",39,NA,NA,NA
"40",40,NA,NA,NA
"41",41,NA,NA,NA
"42",42,NA,NA,NA
"43",43,NA,NA,NA
"44",44,NA,NA,NA
"45",45,NA,NA,NA
"46",46,NA,NA,NA
"47",47,NA,NA,NA
"48",48,NA,NA,NA
"49",49,NA,NA,NA
"50",50,NA,NA,NA
"51",51,NA,NA,NA
"52",52,NA,NA,NA
"53",53,NA,NA,NA
"54",54,NA,NA,NA
"55",55,NA,NA,NA
"56",56,NA,NA,NA
"57",57,NA,NA,NA
"58",58,NA,NA,NA
"59",59,NA,NA,NA
"60",60,NA,NA,NA
"61",61,NA,NA,NA
"62",62,NA,NA,NA
"63",63,NA,NA,NA
"64",64,NA,NA,NA
"65",65,NA,NA,NA
"66",66,NA,NA,NA
"67",67,NA,NA,NA
"68",68,NA,NA,NA
"69",69,NA,NA,NA
"70",70,NA,NA,NA
