"","row","cpt","pb","pb2","man","tei1"
"28",28,"Wilhelmine.
Daran haben Papa sehr übel gethan.","Wilhelmine. Daran haben Papa sehr übel gethan.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Daran haben Papa sehr übel gethan.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Daran haben Papa sehr übel gethan.</p></sp>"
"29",29,"Baron.
Ziererei! sagtest Du nicht noch gestern, sie gefielen
Dir beide?","Baron. Ziererei! sagtest Du nicht noch gestern, sie gefielen Dir beide?","<sp who=""#baron""><speaker>Baron</speaker><p>Ziererei! sagtest Du nicht noch gestern, sie gefielen Dir beide?</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Ziererei! sagtest Du nicht noch gestern, sie gefielen Dir beide?</p></sp>"
"30",30,"Wilhelmine.
Eben deswegen. Sie gefallen mir beide, und beide
so gut –","Wilhelmine. Eben deswegen. Sie gefallen mir beide, und beide so gut –","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Eben deswegen. Sie gefallen mir beide, und beide so gut –</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Eben deswegen. Sie gefallen mir beide, und beide so gut –</p></sp>"
"31",31,"Baron.
Daß Du sie allenfalls beide heirathen würdest –","Baron. Daß Du sie allenfalls beide heirathen würdest – [76] ","<sp who=""#baron""><speaker>Baron</speaker><p>Daß Du sie allenfalls beide heirathen würdest – <pb no=""76""/> </p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Daß Du sie allenfalls beide heirathen würdest – <pb no=""76""/> </p></sp>"
"32",32,"[76] Wilhelmine.
Bewahre der Himmel! unser Geschlecht hat sich nie
durch Vielmännerei entadelt, wie das Ihrige in der
halben Welt durch Vielweiberei. Wir sind schon zufrieden,
wenn Ein Mann uns treu bleibt.","Wilhelmine. Bewahre der Himmel! unser Geschlecht hat sich nie durch Vielmännerei entadelt, wie das Ihrige in der halben Welt durch Vielweiberei. Wir sind schon zufrieden, wenn Ein Mann uns treu bleibt.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Bewahre der Himmel! unser Geschlecht hat sich nie durch Vielmännerei entadelt, wie das Ihrige in der halben Welt durch Vielweiberei. Wir sind schon zufrieden, wenn Ein Mann uns treu bleibt.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Bewahre der Himmel! unser Geschlecht hat sich nie durch Vielmännerei entadelt, wie das Ihrige in der halben Welt durch Vielweiberei. Wir sind schon zufrieden, wenn Ein Mann uns treu bleibt.</p></sp>"
"33",33,"Baron.
Nun so wähle den Einen.","Baron. Nun so wähle den Einen.","<sp who=""#baron""><speaker>Baron</speaker><p>Nun so wähle den Einen.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Nun so wähle den Einen.</p></sp>"
"34",34,"Wilhelmine.
Wer steht mir dafür, dass ich den rechten wähle?
Ein Mädchen sollte sich nie mehr als Einen
Liebhaber wünschen; wird der ein schlechter Ehemann,
so hat sie wenigstens keine Wahl gehabt, und folglich
auch nichts zu bereuen.","Wilhelmine. Wer steht mir dafür, dass ich den rechten wähle? Ein Mädchen sollte sich nie mehr als Einen Liebhaber wünschen; wird der ein schlechter Ehemann, so hat sie wenigstens keine Wahl gehabt, und folglich auch nichts zu bereuen.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Wer steht mir dafür, dass ich den rechten wähle? Ein Mädchen sollte sich nie mehr als Einen Liebhaber wünschen; wird der ein schlechter Ehemann, so hat sie wenigstens keine Wahl gehabt, und folglich auch nichts zu bereuen.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Wer steht mir dafür, dass ich den rechten wähle? Ein Mädchen sollte sich nie mehr als Einen Liebhaber wünschen; wird der ein schlechter Ehemann, so hat sie wenigstens keine Wahl gehabt, und folglich auch nichts zu bereuen.</p></sp>"
"35",35,"Baron.
Aber die Herren sind nun schon ein paar Monat
hier? Zeit genug, um sie kennen zu lernen.","Baron. Aber die Herren sind nun schon ein paar Monat hier? Zeit genug, um sie kennen zu lernen.","<sp who=""#baron""><speaker>Baron</speaker><p>Aber die Herren sind nun schon ein paar Monat hier? Zeit genug, um sie kennen zu lernen.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Aber die Herren sind nun schon ein paar Monat hier? Zeit genug, um sie kennen zu lernen.</p></sp>"
"36",36,"Wilhelmine.
Die selige Mamma pflegte zu sagen: Männer
lerne man nie vor der Hochzeit kennen.","Wilhelmine. Die selige Mamma pflegte zu sagen: Männer lerne man nie vor der Hochzeit kennen.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Die selige Mamma pflegte zu sagen: Männer lerne man nie vor der Hochzeit kennen.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Die selige Mamma pflegte zu sagen: Männer lerne man nie vor der Hochzeit kennen.</p></sp>"
"37",37,"Baron.
Der Hauptmann ist brav.","Baron. Der Hauptmann ist brav.","<sp who=""#baron""><speaker>Baron</speaker><p>Der Hauptmann ist brav.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Der Hauptmann ist brav.</p></sp>"
"38",38,"Wilhelmine.
Der Rittmeister auch.","Wilhelmine. Der Rittmeister auch. [77] ","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Rittmeister auch. <pb no=""77""/> </p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Rittmeister auch. <pb no=""77""/> </p></sp>"
"39",39,"[77] Baron.
Der Rittmeister ist ein lustiger Patron.","Baron. Der Rittmeister ist ein lustiger Patron.","<sp who=""#baron""><speaker>Baron</speaker><p>Der Rittmeister ist ein lustiger Patron.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Der Rittmeister ist ein lustiger Patron.</p></sp>"
"40",40,"Wilhelmine.
Der Hauptmann auch.","Wilhelmine. Der Hauptmann auch.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Hauptmann auch.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Hauptmann auch.</p></sp>"
"41",41,"Baron.
Der Hauptmann hat gefällige Manieren.","Baron. Der Hauptmann hat gefällige Manieren.","<sp who=""#baron""><speaker>Baron</speaker><p>Der Hauptmann hat gefällige Manieren.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Der Hauptmann hat gefällige Manieren.</p></sp>"
"42",42,"Wilhelmine.
Der Rittmeister auch.","Wilhelmine. Der Rittmeister auch.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Rittmeister auch.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Rittmeister auch.</p></sp>"
"43",43,"Baron.
Der Rittmeister ist wohlhabend.","Baron. Der Rittmeister ist wohlhabend.","<sp who=""#baron""><speaker>Baron</speaker><p>Der Rittmeister ist wohlhabend.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Der Rittmeister ist wohlhabend.</p></sp>"
"44",44,"Wilhelmine.
Der Hauptmann auch.","Wilhelmine. Der Hauptmann auch.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Hauptmann auch.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Der Hauptmann auch.</p></sp>"
"45",45,"Baron.
Höre, Minchen, das macht mich verdrüßlich. Die
seufzenden Schäfer liegen mir täglich in den Ohren.
Ich will Ruhe haben, es muß entschieden werden.","Baron. Höre, Minchen, das macht mich verdrüßlich. Die seufzenden Schäfer liegen mir täglich in den Ohren. Ich will Ruhe haben, es muß entschieden werden.","<sp who=""#baron""><speaker>Baron</speaker><p>Höre, Minchen, das macht mich verdrüßlich. Die seufzenden Schäfer liegen mir täglich in den Ohren. Ich will Ruhe haben, es muß entschieden werden.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Höre, Minchen, das macht mich verdrüßlich. Die seufzenden Schäfer liegen mir täglich in den Ohren. Ich will Ruhe haben, es muß entschieden werden.</p></sp>"
"46",46,"Wilhelmine.
Nun so entscheiden Sie.","Wilhelmine. Nun so entscheiden Sie.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Nun so entscheiden Sie.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Nun so entscheiden Sie.</p></sp>"
"47",47,"Baron.
Das lass’ ich wohl bleiben. Gäb’ es einmal einen
Zwist in Deiner Ehe, so würde es gleich heißen: Papa,
daran sind Sie Schuld, ich hätte mir den Andern
genommen.","Baron. Das lass’ ich wohl bleiben. Gäb’ es einmal einen Zwist in Deiner Ehe, so würde es gleich heißen: Papa, daran sind Sie Schuld, ich hätte mir den Andern genommen. [78] ","<sp who=""#baron""><speaker>Baron</speaker><p>Das lass’ ich wohl bleiben. Gäb’ es einmal einen Zwist in Deiner Ehe, so würde es gleich heißen: Papa, daran sind Sie Schuld, ich hätte mir den Andern genommen. <pb no=""78""/> </p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Das lass’ ich wohl bleiben. Gäb’ es einmal einen Zwist in Deiner Ehe, so würde es gleich heißen: Papa, daran sind Sie Schuld, ich hätte mir den Andern genommen. <pb no=""78""/> </p></sp>"
"48",48,"[78] Wilhelmine.
Dafür will ich nicht schwören.","Wilhelmine. Dafür will ich nicht schwören.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Dafür will ich nicht schwören.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Dafür will ich nicht schwören.</p></sp>"
"49",49,"Baron.
Drum lass mich aus dem Spiele.","Baron. Drum lass mich aus dem Spiele.","<sp who=""#baron""><speaker>Baron</speaker><p>Drum lass mich aus dem Spiele.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Drum lass mich aus dem Spiele.</p></sp>"
"50",50,"Wilhelmine.
Aber wie solls denn werden?","Wilhelmine. Aber wie solls denn werden?","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Aber wie solls denn werden?</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Aber wie solls denn werden?</p></sp>"
"51",51,"Baron.
Das ist Deine Sorge. Kannst Du keine Wahl
treffen, so verabschiede sie beide.","Baron. Das ist Deine Sorge. Kannst Du keine Wahl treffen, so verabschiede sie beide.","<sp who=""#baron""><speaker>Baron</speaker><p>Das ist Deine Sorge. Kannst Du keine Wahl treffen, so verabschiede sie beide.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Das ist Deine Sorge. Kannst Du keine Wahl treffen, so verabschiede sie beide.</p></sp>"
"52",52,"Wilhelmine.
Nein, Papa, ich habe Ihren alten Rabner gelesen.","Wilhelmine. Nein, Papa, ich habe Ihren alten Rabner gelesen.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Nein, Papa, ich habe Ihren alten Rabner gelesen.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Nein, Papa, ich habe Ihren alten Rabner gelesen.</p></sp>"
"53",53,"Baron.
So weiß ich Dir nicht zu helfen.","Baron. So weiß ich Dir nicht zu helfen.","<sp who=""#baron""><speaker>Baron</speaker><p>So weiß ich Dir nicht zu helfen.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>So weiß ich Dir nicht zu helfen.</p></sp>"
"54",54,"Wilhelmine.
Ich bin doch fürwahr eine unglückliche Person.
Zwei Freier – verliebt in keinen – und doch an
keinem etwas auszusetzen!","Wilhelmine. Ich bin doch fürwahr eine unglückliche Person. Zwei Freier – verliebt in keinen – und doch an keinem etwas auszusetzen!","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Ich bin doch fürwahr eine unglückliche Person. Zwei Freier – verliebt in keinen – und doch an keinem etwas auszusetzen!</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Ich bin doch fürwahr eine unglückliche Person. Zwei Freier – verliebt in keinen – und doch an keinem etwas auszusetzen!</p></sp>"
"55",55,"Baron.
Wenn Du wenigstens errathen könntest, welcher
von beiden Dich am meisten liebt?","Baron. Wenn Du wenigstens errathen könntest, welcher von beiden Dich am meisten liebt?","<sp who=""#baron""><speaker>Baron</speaker><p>Wenn Du wenigstens errathen könntest, welcher von beiden Dich am meisten liebt?</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Wenn Du wenigstens errathen könntest, welcher von beiden Dich am meisten liebt?</p></sp>"
"56",56,"Wilhelmine.
Sie bringen mich da auf eine Idee. – Ja das
[79] mag entscheiden. Sagen Sie den Herren – doch so,
als ob es Ihr Einfall wäre – sie möchten sich auf
irgend eine Weise unter einander vergleichen; derjenige,
der den Andern vermöge, freiwillig das Feld zu
räumen, solle mein Gemahl werden.","Wilhelmine. Sie bringen mich da auf eine Idee. – Ja das [79] mag entscheiden. Sagen Sie den Herren – doch so, als ob es Ihr Einfall wäre – sie möchten sich auf irgend eine Weise unter einander vergleichen; derjenige, der den Andern vermöge, freiwillig das Feld zu räumen, solle mein Gemahl werden.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Sie bringen mich da auf eine Idee. – Ja das <pb no=""79""/> mag entscheiden. Sagen Sie den Herren – doch so, als ob es Ihr Einfall wäre – sie möchten sich auf irgend eine Weise unter einander vergleichen; derjenige, der den Andern vermöge, freiwillig das Feld zu räumen, solle mein Gemahl werden.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Sie bringen mich da auf eine Idee. – Ja das <pb no=""79""/> mag entscheiden. Sagen Sie den Herren – doch so, als ob es Ihr Einfall wäre – sie möchten sich auf irgend eine Weise unter einander vergleichen; derjenige, der den Andern vermöge, freiwillig das Feld zu räumen, solle mein Gemahl werden.</p></sp>"
"57",57,"Baron.
Närrchen, dann werden sie sich die Hälse brechen.","Baron. Närrchen, dann werden sie sich die Hälse brechen.","<sp who=""#baron""><speaker>Baron</speaker><p>Närrchen, dann werden sie sich die Hälse brechen.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Närrchen, dann werden sie sich die Hälse brechen.</p></sp>"
"58",58,"Wilhelmine.
Das wird bei Strafe meiner höchsten Ungnade untersagt.
List, Ueberredung, Bestechung, Alles sey erlaubt,
nur das Halsbrechen nicht.","Wilhelmine. Das wird bei Strafe meiner höchsten Ungnade untersagt. List, Ueberredung, Bestechung, Alles sey erlaubt, nur das Halsbrechen nicht.","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Das wird bei Strafe meiner höchsten Ungnade untersagt. List, Ueberredung, Bestechung, Alles sey erlaubt, nur das Halsbrechen nicht.</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Das wird bei Strafe meiner höchsten Ungnade untersagt. List, Ueberredung, Bestechung, Alles sey erlaubt, nur das Halsbrechen nicht.</p></sp>"
"59",59,"Baron.
Und was meinst Du, daß geschehen werde?","Baron. Und was meinst Du, daß geschehen werde?","<sp who=""#baron""><speaker>Baron</speaker><p>Und was meinst Du, daß geschehen werde?</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Und was meinst Du, daß geschehen werde?</p></sp>"
"60",60,"Wilhelmine.
Derjenige, der mich am meisten liebt, wird schon
Mittel und Wege finden, den Andern bei Seite zu
schaffen. – Ich sehe sie kommen. Die Schranken
werden geöffnet. Der Herold stößt in die Trompete.
Der Sieger führt die Braut heim. (ab.)","Wilhelmine. Derjenige, der mich am meisten liebt, wird schon Mittel und Wege finden, den Andern bei Seite zu schaffen. – Ich sehe sie kommen. Die Schranken werden geöffnet. Der Herold stößt in die Trompete. Der Sieger führt die Braut heim. (ab.)","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Derjenige, der mich am meisten liebt, wird schon Mittel und Wege finden, den Andern bei Seite zu schaffen. – Ich sehe sie kommen. Die Schranken werden geöffnet. Der Herold stößt in die Trompete. Der Sieger führt die Braut heim. (ab.)</p></sp>","","<sp who=""#wilhelmine""><speaker>Wilhelmine</speaker><p>Derjenige, der mich am meisten liebt, wird schon Mittel und Wege finden, den Andern bei Seite zu schaffen. – Ich sehe sie kommen. Die Schranken werden geöffnet. Der Herold stößt in die Trompete. Der Sieger führt die Braut heim. (ab.)</p></sp>"
"61",61,"Baron (schüttelt den Kopf).
Ich stehe nicht für Unglück.","Baron (schüttelt den Kopf). Ich stehe nicht für Unglück. [80]","<sp who=""#baron""><speaker>Baron</speaker><stage>(schüttelt den Kopf).</stage><p> Ich stehe nicht für Unglück. <pb no=""80""/></p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><stage>(schüttelt den Kopf).</stage><p> Ich stehe nicht für Unglück. <pb no=""80""/></p></sp></div>"
"62",62,"[80]","","","",NA
"63",63,"Zweite Scene.","Zweite Scene.","Zweite Scene.","",NA
"64",64,"Zweite Scene.","Zweite Scene.","<div type=""scene""><head>Zweite Scene.</head>","","<div type=""scene""><head>Zweite Scene.</head>"
"65",65,"Hauptmann Thal. Rittmeister Blum. Krips. Zauser. Der Baron.","Hauptmann Thal. Rittmeister Blum. Krips. Zauser. Der Baron.","Hauptmann Thal. Rittmeister Blum. Krips. Zauser. Der Baron.","",NA
"66",66,"Hauptmann Thal. Rittmeister Blum. Krips. Zauser. Der Baron.","Hauptmann Thal. Rittmeister Blum. Krips. Zauser. Der Baron.","<stage>Hauptmann Thal. Rittmeister Blum. Krips. Zauser. Der Baron.</stage>","","<stage>Hauptmann Thal. Rittmeister Blum. Krips. Zauser. Der Baron.</stage>"
"67",67,"Thal.
Da sind wir auf den Flügeln der Liebe.","Thal. Da sind wir auf den Flügeln der Liebe.","<sp who=""#thal""><speaker>Thal</speaker><p>Da sind wir auf den Flügeln der Liebe.</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Da sind wir auf den Flügeln der Liebe.</p></sp>"
"68",68,"Blum.
Auf den Schwingen der Hoffnung.","Blum. Auf den Schwingen der Hoffnung.","<sp who=""#blum""><speaker>Blum</speaker><p>Auf den Schwingen der Hoffnung.</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Auf den Schwingen der Hoffnung.</p></sp>"
"69",69,"Baron.
Steigen Sie ein wenig herab, wenn ich bitten
darf; ich bin zu Fuße, wie Sie sehen.","Baron. Steigen Sie ein wenig herab, wenn ich bitten darf; ich bin zu Fuße, wie Sie sehen.","<sp who=""#baron""><speaker>Baron</speaker><p>Steigen Sie ein wenig herab, wenn ich bitten darf; ich bin zu Fuße, wie Sie sehen.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Steigen Sie ein wenig herab, wenn ich bitten darf; ich bin zu Fuße, wie Sie sehen.</p></sp>"
"70",70,"Thal.
Hat ihre schöne Tochter entschieden?","Thal. Hat ihre schöne Tochter entschieden?","<sp who=""#thal""><speaker>Thal</speaker><p>Hat ihre schöne Tochter entschieden?</p></sp>","","<sp who=""#thal""><speaker>Thal</speaker><p>Hat ihre schöne Tochter entschieden?</p></sp>"
"71",71,"Blum.
Geschwind! welcher von uns beiden muß sich vor
den Kopf schießen?","Blum. Geschwind! welcher von uns beiden muß sich vor den Kopf schießen?","<sp who=""#blum""><speaker>Blum</speaker><p>Geschwind! welcher von uns beiden muß sich vor den Kopf schießen?</p></sp>","","<sp who=""#blum""><speaker>Blum</speaker><p>Geschwind! welcher von uns beiden muß sich vor den Kopf schießen?</p></sp>"
"72",72,"Baron.
Meine Herren, sie hat entschieden – daß sie nicht
entscheiden kann.","Baron. Meine Herren, sie hat entschieden – daß sie nicht entscheiden kann.","<sp who=""#baron""><speaker>Baron</speaker><p>Meine Herren, sie hat entschieden – daß sie nicht entscheiden kann.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Meine Herren, sie hat entschieden – daß sie nicht entscheiden kann.</p></sp>"
